miRNA_ID,mesh_similarity,doid_similarity
hsa-mir-375,0.045167627261008716,0.04848580504230824
hsa-mir-423,0.020244775800331356,0.026649902385196503
hsa-mir-532,0.015498737373737375,0.008576998050682261
hsa-let-7a,0.007874015748031496,0.004743083003952569
hsa-mir-24,0.005154639175257732,0.0028768699654775605
hsa-mir-20b,0.017641881132992174,0.015119256180770726
hsa-mir-26b,0.03449211473266456,0.02942325473737821
hsa-mir-106b,0.01557454890788224,0.012268736632715634
hsa-mir-217,0.03541490857946554,0.033001745618020516
hsa-mir-28,0.001562692260366679,0.0
hsa-let-7e,0.045866961510260144,0.03629281537176274
hsa-mir-193b,0.05333059263414833,0.04818300199432411
hsa-mir-383,0.022608906127316412,0.018116424300910674
hsa-mir-203,0.01744719926538108,0.011363636363636364
hsa-mir-27,0.0,0.0
hsa-mir-200a,0.05553853956757768,0.062318320033008794
hsa-mir-210,0.0298319259683956,0.03576649221885115
hsa-mir-140,0.021704293327591485,0.0329815347391105
hsa-mir-1,0.007984494499738082,0.0063831593243357946
hsa-mir-1307,0.034267040149393094,0.030908289241622575
hsa-mir-141,0.04999153659807217,0.04856272319750296
hsa-mir-205,0.042905107636290435,0.04277354651686202
hsa-mir-137,0.0324057182878095,0.03352618643100044
hsa-mir-214,0.029899499761074352,0.03275900323307169
hsa-mir-429,0.048278987128917004,0.04338778874547519
hsa-mir-379,0.007751937984496124,0.00771604938271605
hsa-mir-15a,0.025075967127507582,0.02269216205000519
hsa-mir-30,0.0,0.0
hsa-mir-342,0.026062531707391968,0.0222367402245451
hsa-mir-138,0.011825572801182559,0.008264462809917356
hsa-let-7d,0.014129102739357711,0.009809350818122748
hsa-mir-19,0.0,0.0
hsa-mir-145,0.03615896358543417,0.02811821171202737
hsa-mir-372,0.03378946179812675,0.024260665804783452
hsa-mir-486,0.010392648287385129,0.010735930735930736
hsa-mir-194,0.010743801652892562,0.006916996047430831
hsa-mir-196a,0.01611047180667434,0.0062266500622665
hsa-let-7c,0.012465022170562659,0.015405532114392875
hsa-mir-654,0.004000516195638146,0.003003003003003003
hsa-mir-1246,0.0179732868757259,0.022187382415652827
hsa-mir-10b,0.051359157933579515,0.05129709546241568
hsa-let-7b,0.03330295297874489,0.02916474638288364
hsa-mir-10a,0.05982234418914667,0.06820149712306575
